	业务子类	受理时间	受理日类型	受理紧急程度	受理重要程度	首次评议	通话时长	供电所类型	用电类型	该线路当天跳闸重合闸成功次数	该线路当天跳闸重合闸不成功次数	前一天至当天成功	前一天至当天不成功	前两天至当天成功	前两天至当天不成功	前三天至当天成功	前三天至当天不成功	受理变电站编号	受理用户前半年总工单	受理用户前半年一般工单提级投诉	受理用户前半年意见不提级工单	受理用户前半年意见转投诉工单	受理用户前半年投诉工单	受理当天温度：最大/最小/平均	受理当天温度：最大/最小/平均.1	受理当天温度：最大/最小/平均.2	受理前期三天温度：最大/最小/平均	受理前期三天温度：最大/最小/平均.1	受理前期三天温度：最大/最小/平均.2	受理后期三天温度：最大/最小/平均	受理后期三天温度：最大/最小/平均.1	受理后期三天温度：最大/最小/平均.2	受理当天/前三天/后三天最恶劣天气	受理当天/前三天/后三天最恶劣天气.1	受理当天/前三天/后三天最恶劣天气.2	受理当天最大/最小/平均风力	受理当天最大/最小/平均风力.1	受理当天最大/最小/平均风力.2	受理前三天最大/最小/平均风力	受理前三天最大/最小/平均风力.1	受理前三天最大/最小/平均风力.2	受理后三天平均最大/最小/风力	受理后三天平均最大/最小/风力.1	受理后三天平均最大/最小/风力.2	受理当天风向	47-49/受理前三天最大/最小/平均负荷	47-49/受理前三天最大/最小/平均负荷.1	47-49/受理前三天最大/最小/平均负荷.2	业务类型	工单风险类别
0	1	9	1	1	1	3	2	1	4	1	1	1	1	1	1	1	1	37	2	1	1	1	1	8	6	7	8	6	7	8	4	6	6	3	3	3	0	1.736842105	2	1	1	2	1	2	2	4	3	3	9	1
1	1	5	1	1	1	3	2	1	4	1	1	1	1	1	1	1	1	15	1	1	1	1	1	7	5	6	7	5	6	8	4	6	2	3	2	3	1	2.0	2	2	2	2	2	2	2	7	6	6	10	1
2	1	11	1	1	1	3	3	1	4	1	1	1	1	1	1	1	1	29	1	1	1	1	1	6	4	5	6	4	5	6	4	5	3	6	6	3	2	2.473684211	2	1	2	2	2	2	9	4	3	3	9	1
3	1	12	1	1	1	3	3	2	4	1	1	1	1	1	1	1	1	4	2	1	1	1	1	11	11	11	11	11	11	11	10	11	2	5	2	3	2	2.615384615	2	1	1	2	2	2	6	5	4	5	3	1
4	1	10	1	1	1	3	3	1	4	1	1	1	1	1	1	1	1	37	3	1	1	1	1	11	9	10	11	9	10	10	9	10	8	9	5	3	1	2.3	2	1	1	3	1	1	1	5	5	5	9	1
5	1	6	2	1	1	3	1	1	3	1	1	1	1	1	1	1	1	15	1	1	1	1	1	8	4	6	8	4	6	9	6	7	1	2	2	4	1	2.421052632	2	1	1	2	2	2	3	3	3	3	10	1
6	1	8	2	1	1	3	2	1	4	1	1	1	1	1	3	1	3	37	1	1	1	1	1	12	9	11	12	9	11	11	10	11	7	2	2	3	0	1.894736842	2	1	1	2	2	2	8	6	6	6	9	1
7	1	6	2	1	1	3	2	1	4	1	1	1	1	1	1	1	1	3	2	1	1	1	1	11	10	11	11	10	11	12	8	10	7	5	5	3	2	2.733333333	2	1	2	2	1	2	1	6	7	6	9	1
8	1	9	1	1	1	3	2	1	4	1	1	1	1	1	1	1	1	23	1	1	1	1	1	8	7	7	8	7	7	9	7	8	2	6	2	4	2	2.789473684	2	1	1	2	2	2	1	4	4	3	9	1
9	1	6	3	1	1	3	1	1	4	1	1	1	1	1	1	1	1	37	1	1	1	1	1	10	9	9	10	9	9	11	9	9	8	8	10	2	1	1.736842105	2	1	1	3	2	2	1	6	5	6	10	1
