	业务子类	受理时间	受理日类型	受理紧急程度	受理重要程度	首次评议	通话时长	供电所类型	用电类型	该线路当天跳闸重合闸成功次数	该线路当天跳闸重合闸不成功次数	前一天至当天成功	前一天至当天不成功	前两天至当天成功	前两天至当天不成功	前三天至当天成功	前三天至当天不成功	受理变电站编号	受理用户前半年总工单	受理用户前半年一般工单提级投诉	受理用户前半年意见不提级工单	受理用户前半年意见转投诉工单	受理用户前半年投诉工单	受理当天温度：最大/最小/平均	受理当天温度：最大/最小/平均.1	受理当天温度：最大/最小/平均.2	受理前期三天温度：最大/最小/平均	受理前期三天温度：最大/最小/平均.1	受理前期三天温度：最大/最小/平均.2	受理后期三天温度：最大/最小/平均	受理后期三天温度：最大/最小/平均.1	受理后期三天温度：最大/最小/平均.2	受理当天/前三天/后三天最恶劣天气	受理当天/前三天/后三天最恶劣天气.1	受理当天/前三天/后三天最恶劣天气.2	受理当天最大/最小/平均风力	受理当天最大/最小/平均风力.1	受理当天最大/最小/平均风力.2	受理前三天最大/最小/平均风力	受理前三天最大/最小/平均风力.1	受理前三天最大/最小/平均风力.2	受理后三天平均最大/最小/风力	受理后三天平均最大/最小/风力.1	受理后三天平均最大/最小/风力.2	受理当天风向	47-49/受理前三天最大/最小/平均负荷	47-49/受理前三天最大/最小/平均负荷.1	47-49/受理前三天最大/最小/平均负荷.2	业务类型	工单风险类别
0	1	17	1	1	1	3	103	1	4	0	0	0	0	0	0	0	0	37	2	0	0	0	0	23	16	19.0	21	9	15.56140351	23	11	17.64649123	8	6	7	3	0	1.736842105	2	0	1.315789474	3	1	2.105263158	2	962.217	480.925	684.761	9	1
1	1	9	1	1	1	3	128	1	4	0	0	0	0	0	0	0	0	15	1	0	0	0	0	20	14	16.41666667	21	12	15.68055556	21	10	15.73490338	7	5	6	3	1	2.0	3	2	2.291666667	3	2	2.291666667	2	1230.215	726.644	969.322	10	1
2	1	22	1	1	1	3	242	1	4	0	0	0	0	0	0	0	0	29	1	0	0	0	0	15	10	13.21052632	15	11	12.74122807	16	9	12.15263158	6	4	5	3	2	2.473684211	3	1	2.0	3	2	2.263157895	9	947.879	484.76	679.485	9	1
3	1	23	1	1	1	3	224	2	4	0	0	0	0	0	0	0	0	4	3	0	0	0	0	32	30	31.0	32	26	29.33333333	32	29	30.79210526	11	11	11	3	2	2.615384615	3	1	1.684210526	3	2	2.615384615	6	1062.381	553.072	810.698	3	1
4	1	20	1	1	1	3	292	1	4	0	0	0	0	0	0	0	0	37	9	0	0	0	0	31	25	27.65	31	25	28.56842105	29	25	27.17280702	11	9	10	3	1	2.3	3	1	1.947368421	4	1	1.947368421	1	1077.142	651.724	879.991	9	1
5	1	12	2	1	1	3	63	1	3	0	0	0	0	0	0	0	0	15	1	0	0	0	0	23	11	17.57894737	21	9	14.41812865	24	15	19.94948974	8	4	6	4	1	2.421052632	3	1	1.684210526	3	2	2.473684211	3	847.71	452.147	627.541	10	1
6	1	15	2	1	1	3	154	1	4	0	0	0	0	0	2	0	2	37	1	0	0	0	0	34	26	30.57894737	33	25	29.49210526	32	27	30.22807018	12	9	11	3	0	1.894736842	2	0	1.526315789	3	2	2.421052632	8	1178.574	724.985	939.814	9	1
7	1	11	2	1	1	3	109	1	4	0	0	0	0	0	0	0	0	3	4	0	0	0	0	32	28	30.4	32	28	30.35	33	23	28.27582846	11	10	11	3	2	2.733333333	3	1	2.2	3	1	2.166666667	1	1193.375	827.878	986.649	9	1
8	1	18	1	1	1	3	151	1	4	0	0	0	0	0	0	0	0	23	1	0	0	0	0	23	18	20.0	23	13	17.39561404	26	19	21.78333333	8	7	7	4	2	2.789473684	2	0	1.15	3	2	2.3	1	909.854	508.399	683.713	9	1
9	1	12	3	1	1	3	68	1	4	0	0	0	0	0	0	0	0	37	1	0	0	0	0	28	25	26.10526316	32	26	28.39814815	30	25	26.65	10	9	9	2	1	1.736842105	3	0	1.95	5	2	2.9	1	1127.014	695.391	916.615	10	1
10	1	17	2	1	1	3	111	1	4	0	0	0	0	0	0	0	0	23	2	0	0	0	0	24	14	18.95833333	22	8	15.23611111	20	10	13.75	9	5	7	4	1	2.166666667	3	0	1.875	5	2	2.958333333	2	1041.249	516.547	757.273	10	1
11	1	13	2	1	1	1	154	1	4	0	0	0	0	0	0	0	0	37	3	0	0	0	0	30	25	26.89473684	28	23	25.18245614	31	21	26.41491228	11	9	9	3	0	2.052631579	4	1	2.315789474	3	1	2.052631579	1	994.891	574.13	764.418	3	1
