1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label
1,9,1,1,1,3,2,1,4,1,1,1,1,1,1,1,1,37,2,1,1,1,1,8,6,7,8,6,7,8,4,6,6,3,3,3,0,1.736842105,2,1,1,2,1,2,2,4,3,3,9,1
1,5,1,1,1,3,2,1,4,1,1,1,1,1,1,1,1,15,1,1,1,1,1,7,5,6,7,5,6,8,4,6,2,3,2,3,1,2,2,2,2,2,2,2,2,7,6,6,10,1
1,11,1,1,1,3,3,1,4,1,1,1,1,1,1,1,1,29,1,1,1,1,1,6,4,5,6,4,5,6,4,5,3,6,6,3,2,2.473684211,2,1,2,2,2,2,9,4,3,3,9,1
1,12,1,1,1,3,3,2,4,1,1,1,1,1,1,1,1,4,2,1,1,1,1,11,11,11,11,11,11,11,10,11,2,5,2,3,2,2.615384615,2,1,1,2,2,2,6,5,4,5,3,1
1,10,1,1,1,3,3,1,4,1,1,1,1,1,1,1,1,37,3,1,1,1,1,11,9,10,11,9,10,10,9,10,8,9,5,3,1,2.3,2,1,1,3,1,1,1,5,5,5,9,1
1,6,2,1,1,3,1,1,3,1,1,1,1,1,1,1,1,15,1,1,1,1,1,8,4,6,8,4,6,9,6,7,1,2,2,4,1,2.421052632,2,1,1,2,2,2,3,3,3,3,10,1
1,8,2,1,1,3,2,1,4,1,1,1,1,1,3,1,3,37,1,1,1,1,1,12,9,11,12,9,11,11,10,11,7,2,2,3,0,1.894736842,2,1,1,2,2,2,8,6,6,6,9,1
1,6,2,1,1,3,2,1,4,1,1,1,1,1,1,1,1,3,2,1,1,1,1,11,10,11,11,10,11,12,8,10,7,5,5,3,2,2.733333333,2,1,2,2,1,2,1,6,7,6,9,1
1,9,1,1,1,3,2,1,4,1,1,1,1,1,1,1,1,23,1,1,1,1,1,8,7,7,8,7,7,9,7,8,2,6,2,4,2,2.789473684,2,1,1,2,2,2,1,4,4,3,9,1
1,6,3,1,1,3,1,1,4,1,1,1,1,1,1,1,1,37,1,1,1,1,1,10,9,9,10,9,9,11,9,9,8,8,10,2,1,1.736842105,2,1,1,3,2,2,1,6,5,6,10,1
1,9,2,1,1,3,2,1,4,1,1,1,1,1,1,1,1,23,2,1,1,1,1,9,5,7,9,5,7,7,4,5,6,3,2,4,1,2.166666667,2,1,1,3,2,2,2,5,4,4,10,1
1,7,2,1,1,1,2,1,4,1,1,1,1,1,1,1,1,37,2,1,1,1,1,11,9,9,11,9,9,11,8,9,2,5,5,3,0,2.052631579,3,1,2,2,1,2,1,4,4,4,3,1
1,5,2,1,1,3,1,1,4,1,1,1,1,1,1,1,1,9,1,1,1,1,1,8,7,7,8,7,7,9,7,8,2,2,5,4,1,2,2,1,2,2,1,2,1,4,4,4,10,1
1,6,1,1,1,3,2,1,4,1,1,1,1,1,1,1,1,29,1,1,1,1,1,11,9,9,11,9,9,11,9,9,8,7,8,2,0,1.659574468,2,1,1,2,1,1,2,7,7,6,9,1
